Database Lab #Cont Global #Ex #Rules #Train #ErrorTrain #Test #TestWNC #Error %NC TrainTime Nose TestTime
census 3 9 Global 142521,000000 42694,200000 97,157086 2,842914 80,580406 93,394922 6,605078 13,720785 3,929564 0,000000 6,628516 0,000000 0,000000 0,000000
covtype1 3 10 Global 581012,000000 8859,200000 78,915324 21,084676 79,004048 79,004592 20,995408 0,000688 22,408020 0,000000 6,913520 0,000000 0,000000 0,000000
covtype2 3 10 Global 581012,000000 8862,200000 76,763819 23,236181 77,017342 77,017607 22,982393 0,000344 20,977214 0,000000 6,965840 0,000000 0,000000 0,000000
covtype3 3 10 Global 581012,000000 8866,000000 96,749336 3,250664 96,701961 96,702960 3,297040 0,001033 21,952416 0,000000 6,099480 0,000000 0,000000 0,000000
covtype7 3 10 Global 581012,000000 8859,800000 98,639529 1,360471 98,628428 98,628767 1,371233 0,000344 22,609602 0,000000 5,894427 0,000000 0,000000 0,000000
fars_Fatal_Injury 3 5 Global 100968,000000 27765,400000 99,549857 0,450143 92,285675 99,034936 0,965064 6,815031 1,915033 0,000000 1,094872 0,000000 0,000000 0,000000
fars_Incapaciting_Injury 3 5 Global 100968,000000 27753,600000 90,301630 9,698370 79,586602 85,394417 14,605583 6,801165 2,052790 0,000000 1,036392 0,000000 0,000000 0,000000
fars_No_Injury 3 5 Global 100968,000000 27761,200000 96,767045 3,232955 88,537953 95,004038 4,995962 6,806117 1,673841 0,000000 0,909230 0,000000 0,000000 0,000000
fars_Nonincapaciting_Evident_Injury 3 5 Global 100968,000000 27758,000000 88,987105 11,012895 78,263410 83,992517 16,007483 6,820973 1,880088 0,000000 0,961730 0,000000 0,000000 0,000000
KDDCup99_dos 3 33 Global 4898431,000000 4261,600000 99,943676 0,056324 99,938246 99,945387 0,054613 0,007145 136,112555 0,000000 23,811893 0,000000 0,000000 0,000000
KDDCup99_normal 3 33 Global 4898431,000000 4259,200000 99,909313 0,090687 99,904500 99,911455 0,088545 0,006961 135,721599 0,000000 23,698167 0,000000 0,000000 0,000000
KDDCup99_probe 3 33 Global 4898431,000000 4256,600000 99,984296 0,015704 99,978075 99,984892 0,015108 0,006819 140,019162 0,000000 23,911801 0,000000 0,000000 0,000000
KDDCup99_r2l 3 33 Global 4898431,000000 4260,200000 99,981826 0,018174 99,973971 99,980952 0,019048 0,006982 129,538970 0,000000 23,576490 0,000000 0,000000 0,000000
poker0 3 10 Global 1025009,000000 56105,600000 66,892803 33,107197 62,254673 62,254673 37,745327 0,000000 7,735316 0,000000 2,551293 0,000000 0,000000 0,000000
poker1 3 10 Global 1025009,000000 56093,800000 64,518238 35,481762 59,063189 59,063246 40,936754 0,000098 7,935988 0,000000 2,902490 0,000000 0,000000 0,000000
poker2 3 10 Global 1025009,000000 56156,400000 95,285017 4,714983 95,094287 95,094287 4,905713 0,000000 7,578145 0,000000 2,047554 0,000000 0,000000 0,000000
poker3 3 10 Global 1025009,000000 56182,400000 97,907823 2,092177 97,789483 97,789483 2,210517 0,000000 8,624762 0,000000 1,642464 0,000000 0,000000 0,000000
skin 3 3 Global 245057,000000 25,000000 93,646784 6,353216 92,573973 92,573973 7,426027 0,000000 1,039096 0,000000 0,157145 0,000000 0,000000 0,000000
susy 3 18 Global 5000000,000000 10516,600000 64,456655 35,543345 68,546620 68,546798 31,453202 0,000260 74,247542 0,000000 38,104431 0,000000 0,000000 0,000000
============= -acc 2 Considering all variables like continuous
census 3 9 Global 142521,000000 42694,200000 0,788994 -1,000000 0,440011 0,518350 -1,000000 13,720787 3,661517 0,000000 6,094352 0,000000 0,000000 0,000000
covtype1 3 10 Global 581012,000000 8859,200000 0,740292 -1,000000 0,747086 0,747091 -1,000000 0,000688 19,850513 0,000000 6,486687 0,000000 0,000000 0,000000
covtype2 3 10 Global 581012,000000 8862,200000 0,767036 -1,000000 0,770187 0,770190 -1,000000 0,000344 23,040254 0,000000 6,600233 0,000000 0,000000 0,000000
covtype3 3 10 Global 581012,000000 8866,000000 0,849329 -1,000000 0,881070 0,881075 -1,000000 0,001033 19,946917 0,000000 5,799063 0,000000 0,000000 0,000000
covtype7 3 10 Global 581012,000000 8859,800000 0,860680 -1,000000 0,852952 0,852953 -1,000000 0,000344 22,278096 0,000000 5,626456 0,000000 0,000000 0,000000
fars_Fatal_Injury 3 5 Global 100968,000000 27765,400000 0,994637 -1,000000 0,912360 0,988801 -1,000000 6,815032 2,006222 0,000000 1,048868 0,000000 0,000000 0,000000
fars_Incapaciting_Injury 3 5 Global 100968,000000 27753,600000 0,718395 -1,000000 0,643647 0,682658 -1,000000 6,801167 1,839477 0,000000 1,042336 0,000000 0,000000 0,000000
fars_No_Injury 3 5 Global 100968,000000 27761,200000 0,972242 -1,000000 0,892553 0,939791 -1,000000 6,806118 2,053338 0,000000 0,931535 0,000000 0,000000 0,000000
fars_Nonincapaciting_Evident_Injury 3 5 Global 100968,000000 27758,000000 0,567999 -1,000000 0,527669 0,555646 -1,000000 6,820975 2,390804 0,000000 1,065165 0,000000 0,000000 0,000000
KDDCup99_dos 3 33 Global 4898431,000000 4261,600000 0,999444 -1,000000 0,999318 0,999483 -1,000000 0,007145 121,827598 0,000000 21,999266 0,000000 0,000000 0,000000
